date,ticker,volume,open,close,high,low,window_start,transactions
2025-06-05,SOXX,10944227,218.47,215.89,220.28,214.41,1749096000000000000,185833
2025-06-06,SOXX,7582517,218.0,217.34,220.23,217.21,1749182400000000000,131739
2025-06-09,SOXX,7712015,219.325,222.46,224.41,219.13,1749441600000000000,149489
2025-06-10,SOXX,7676150,223.54,227.32,228.08,222.99,1749528000000000000,137918
2025-06-11,SOXX,10405605,228.9,226.56,229.8,224.27,1749614400000000000,231300
2025-06-12,SOXX,5149168,224.94,226.87,228.0,224.6,1749700800000000000,103914
2025-06-13,SOXX,10484576,221.99,220.96,224.58,220.3,1749787200000000000,206324
2025-06-16,SOXX,5772471,223.585,227.44,228.58,223.24,1750046400000000000,119280
2025-06-17,SOXX,7290018,226.45,225.64,229.64,225.48,1750132800000000000,159089
2025-06-18,SOXX,6657644,226.85,226.56,229.19,225.1,1750219200000000000,182303
2025-06-20,SOXX,8202267,228.79,225.11,229.08,222.16,1750392000000000000,218916
2025-06-23,SOXX,7115093,225.015,226.51,227.89,221.86,1750651200000000000,208915
2025-06-24,SOXX,7017460,230.57,235.1,235.36,230.46,1750737600000000000,164355
2025-06-25,SOXX,5252506,236.66,237.21,237.24,234.8,1750824000000000000,156391
2025-06-26,SOXX,4350082,239.035,239.07,239.65,237.18,1750910400000000000,124738
2025-06-27,SOXX,4520463,239.31,238.86,241.2338,236.37,1750996800000000000,139910
2025-06-30,SOXX,4925307,240.165,238.7,240.165,237.56,1751256000000000000,128249
2025-07-01,SOXX,10892948,236.7,237.62,239.18,234.08,1751342400000000000,273601
2025-07-02,SOXX,5978978,237.09,242.14,243.12,237.0,1751428800000000000,167477
2025-07-03,SOXX,3069405,243.15,243.34,244.198,242.7,1751515200000000000,69624
2025-07-07,SOXX,4859190,241.29,238.78,242.13,237.75,1751860800000000000,107160
2025-07-08,SOXX,7276223,241.06,243.34,245.4,240.11,1751947200000000000,138277
2025-07-09,SOXX,4415318,244.01,244.12,246.53,241.88,1752033600000000000,96160
2025-07-10,SOXX,4869235,246.415,246.55,247.52,244.2701,1752120000000000000,102847
2025-07-11,SOXX,2649556,245.01,246.17,247.0695,244.055,1752206400000000000,60810
2025-07-14,SOXX,5522611,244.15,243.83,244.735,240.35,1752465600000000000,121439
2025-07-15,SOXX,6042060,248.79,246.26,249.96,246.1,1752552000000000000,133661
2025-07-16,SOXX,8348922,244.28,245.59,245.67,239.215,1752638400000000000,154124
2025-07-17,SOXX,4801141,245.535,246.53,247.13,243.905,1752724800000000000,105142
2025-07-18,SOXX,3758820,247.95,246.73,248.37,244.88,1752811200000000000,83219
2025-07-21,SOXX,4672569,247.355,246.95,250.19,246.95,1753070400000000000,99379
2025-07-22,SOXX,6870965,246.04,243.54,246.5,240.69,1753156800000000000,131176
2025-07-23,SOXX,5952646,241.715,242.06,242.4,239.06,1753243200000000000,136828
2025-07-24,SOXX,4166836,241.59,241.56,242.09,239.46,1753329600000000000,95465
2025-07-25,SOXX,3511499,240.1,241.54,241.67,239.0963,1753416000000000000,93342
2025-07-28,SOXX,6432959,244.21,245.75,246.0,243.91,1753675200000000000,132327
2025-07-29,SOXX,5299739,247.29,246.19,249.53,244.5,1753761600000000000,99112
2025-07-30,SOXX,5300502,248.36,247.95,249.5,245.87,1753848000000000000,127726
2025-07-31,SOXX,9419309,245.04,240.03,245.2946,237.66,1753934400000000000,166324
2025-08-01,SOXX,8549045,235.505,237.24,239.61,232.33,1754020800000000000,160991
2025-08-04,SOXX,6189549,238.76,240.4,240.855,237.77,1754280000000000000,128496
