date,ticker,volume,open,close,high,low,window_start,transactions
2025-07-15,NVDA,230627350,171.19,170.7,172.4,169.195,1752552000000000000,2183797
2025-07-16,NVDA,158831509,171.06,171.37,171.75,168.9,1752638400000000000,1514668
2025-07-17,NVDA,160841119,172.02,173.0,174.16,170.83,1752724800000000000,1533394
2025-07-18,NVDA,146456416,173.64,172.41,174.25,171.26,1752811200000000000,1302166
2025-07-21,NVDA,123126136,172.75,171.38,173.38,171.0,1753070400000000000,1178507
2025-07-22,NVDA,193114327,171.34,167.03,171.39,164.58,1753156800000000000,1953391
2025-07-23,NVDA,154082197,169.53,170.78,171.26,167.97,1753243200000000000,1400560
2025-07-24,NVDA,128984628,172.44,173.74,173.83,171.3,1753329600000000000,1170230
2025-07-25,NVDA,122316792,173.61,173.5,174.72,172.96,1753416000000000000,1042861
2025-07-28,NVDA,140023521,174.02,176.75,177.0,173.97,1753675200000000000,1198494
2025-07-29,NVDA,154077512,177.96,175.51,179.38,175.02,1753761600000000000,1429004
2025-07-30,NVDA,174312208,176.51,179.27,179.89,176.04,1753848000000000000,1587077
2025-07-31,NVDA,221685446,182.9,177.87,183.3,175.93,1753934400000000000,1998696
2025-08-01,NVDA,204528985,174.09,173.72,176.54,170.89,1754020800000000000,2249947
2025-08-04,NVDA,148174609,175.16,180.0,180.2,174.52,1754280000000000000,1439334
2025-08-05,NVDA,156407621,179.62,178.26,180.26,175.9,1754366400000000000,1524707
2025-08-06,NVDA,137192265,176.325,179.42,179.9,176.25,1754452800000000000,1293254
2025-08-07,NVDA,151878365,181.57,180.77,183.88,178.795,1754539200000000000,1473526
2025-08-08,NVDA,123396679,181.55,182.7,183.3,180.4,1754625600000000000,1165166
2025-08-11,NVDA,138323191,182.05,182.06,183.84,180.25,1754884800000000000,1353390
2025-08-12,NVDA,145729202,182.96,183.16,184.48,179.46,1754971200000000000,1405944
2025-08-13,NVDA,179871724,182.615,181.59,183.97,179.35,1755057600000000000,1728366
2025-08-14,NVDA,129553959,179.75,182.02,183.02,179.46,1755144000000000000,1250340
2025-08-15,NVDA,156602161,181.88,180.45,181.9,178.0417,1755230400000000000,1419301
2025-08-18,NVDA,132007959,180.6,182.01,182.9375,180.59,1755489600000000000,1168938
2025-08-19,NVDA,185229219,182.43,175.64,182.5,175.49,1755576000000000000,1951842
2025-08-20,NVDA,215142725,175.165,175.4,176.0,168.801,1755662400000000000,2388144
2025-08-21,NVDA,140040850,174.85,174.98,176.9,173.81,1755748800000000000,1256591
2025-08-22,NVDA,172789427,172.61,177.99,178.59,171.2,1755835200000000000,1562775
2025-08-25,NVDA,163012789,178.35,179.81,181.91,176.57,1756094400000000000,1505102
2025-08-26,NVDA,168688186,180.055,181.77,182.39,178.81,1756180800000000000,1306126
2025-08-27,NVDA,235518949,181.98,181.6,182.49,179.1,1756267200000000000,2197550
2025-08-28,NVDA,281787824,180.82,180.17,184.47,176.41,1756353600000000000,2761160
2025-08-29,NVDA,243257873,178.11,174.18,178.15,173.145,1756440000000000000,2419823
2025-09-02,NVDA,231164853,170.0,170.78,172.379,167.22,1756785600000000000,2547768
2025-09-03,NVDA,164424873,171.06,170.62,172.41,168.875,1756872000000000000,1703859
2025-09-04,NVDA,141670144,170.57,171.66,171.86,169.41,1756958400000000000,1235371
2025-09-05,NVDA,224441435,168.03,167.02,169.03,164.07,1757044800000000000,2692089
2025-09-08,NVDA,163769133,167.55,168.31,170.96,167.35,1757304000000000000,1616172
2025-09-09,NVDA,157548392,169.09,170.76,170.98,166.7401,1757390400000000000,1459074
2025-09-10,NVDA,226852020,176.64,177.33,179.29,175.47,1757476800000000000,2122717
2025-09-11,NVDA,151159274,179.68,177.17,180.28,176.48,1757563200000000000,1408216
2025-09-12,NVDA,124911026,177.77,177.82,178.595,176.45,1757649600000000000,1129215
2025-09-15,NVDA,147061559,175.67,177.75,178.85,174.51,1757908800000000000,1608560
2025-09-16,NVDA,140737775,177.0,174.88,177.5,174.38,1757995200000000000,1387121
2025-09-17,NVDA,211843817,172.64,170.29,173.2,168.41,1758081600000000000,2307941
2025-09-18,NVDA,191763313,173.98,176.24,177.1,172.96,1758168000000000000,1791217
2025-09-19,NVDA,237182143,175.77,176.67,178.08,175.18,1758254400000000000,1446431
2025-09-22,NVDA,269637001,175.3,183.61,184.55,174.7053,1758513600000000000,2579370
2025-09-23,NVDA,192559552,181.97,178.43,182.42,176.21,1758600000000000000,2162587
2025-09-24,NVDA,143564116,179.77,176.97,179.78,175.4,1758686400000000000,1605088
2025-09-25,NVDA,191586733,174.48,177.69,180.26,173.125,1758772800000000000,2039582
2025-09-26,NVDA,148573732,178.17,178.19,179.77,174.93,1758859200000000000,1585809
2025-09-29,NVDA,193063455,180.425,181.85,184.0,180.32,1759118400000000000,1971580
2025-09-30,NVDA,236981032,182.08,186.58,187.35,181.48,1759204800000000000,2481203
2025-10-01,NVDA,173844901,185.24,187.24,188.14,183.9,1759291200000000000,1889076
2025-10-02,NVDA,136805821,189.6,188.89,191.05,188.06,1759377600000000000,2148447
2025-10-03,NVDA,137596896,189.19,187.62,190.36,185.38,1759464000000000000,2103187
2025-10-06,NVDA,157678104,185.5,185.54,187.23,183.33,1759723200000000000,2459313
2025-10-07,NVDA,140088008,186.23,185.04,189.06,184.0,1759809600000000000,2233256
2025-10-08,NVDA,130168861,186.57,189.11,189.6,186.54,1759896000000000000,1444860
2025-10-09,NVDA,182997234,192.225,192.57,195.3,191.06,1759982400000000000,2696529
2025-10-10,NVDA,268774359,193.505,183.16,195.62,182.05,1760068800000000000,3980078
2025-10-13,NVDA,153482755,187.965,188.32,190.1099,185.96,1760328000000000000,2547627
2025-10-14,NVDA,205641380,184.77,180.03,184.8,179.7,1760414400000000000,3253530
2025-10-15,NVDA,214450482,184.8,179.83,184.87,177.29,1760500800000000000,3358268
2025-10-16,NVDA,179723309,182.23,181.81,183.28,179.77,1760587200000000000,2838082
2025-10-17,NVDA,173135217,180.18,183.22,184.1,179.75,1760673600000000000,2612676
2025-10-20,NVDA,128541265,183.13,182.64,185.2,181.73,1760932800000000000,2164655
2025-10-21,NVDA,124240168,182.785,181.16,182.785,179.8,1761019200000000000,2030071
2025-10-22,NVDA,162249552,181.14,180.28,183.44,176.76,1761105600000000000,2857358
2025-10-23,NVDA,111357857,180.42,182.16,183.03,179.7901,1761192000000000000,1860842
2025-10-24,NVDA,131284997,183.835,186.26,187.47,183.5,1761278400000000000,2118541
2025-10-27,NVDA,153451565,189.99,191.49,192.0,188.4318,1761537600000000000,2389719
2025-10-28,NVDA,297970590,193.05,201.03,203.15,191.91,1761624000000000000,3733744
2025-10-29,NVDA,308822352,207.98,207.04,212.1899,204.775,1761710400000000000,4703238
2025-10-30,NVDA,178859778,205.15,202.89,206.16,201.41,1761796800000000000,3248518
